"Sample","lat.","long.","altitute.m","depth.m","water.percent","se.water","U.ppm","se.U","Th.ppm","se.Th","K.percent","se.K","Sa","se.Sa","cosmicray","cosmic.err","alpha","alpha.err","beta","beta.err","gamma","gamma.err","Dr_Gyka","Dr.err"
"LUM4523",42.45,13.27,889,1000,0,1,0.5193,0.0147,0.1897,0.0088,0.0142,0.00077,22.9,0.2,3.04887861886449e-06,3.04887861886449e-07,0.2181210823068,0.00676574466168643,0.09235824,0.00254275029707854,0.07072947,0.00189318284025644,0.381211841185419,0.00747161436772733
"LUM4524",42.45,13.27,889,1000,0,1,1.0756,0.005,0.2487,0.0063,0.02677,0.00136,27.6,2.7,3.04887861886449e-06,3.04887861886449e-07,0.525221969952,0.0489366645918628,0.185214737,0.00272560774735952,0.138901696,0.00175851983252162,0.849341451830619,0.0490440462346173
"LUM4525",42.45,13.27,853,1000,0,1,0.8738,0.0109,0.1969,0.0051,0.01606,0.00063,26.7,2,3.02762779836776e-06,3.02762779836776e-07,0.4121033601192,0.0300715264387035,0.145767836,0.0025142325554704,0.111173518,0.0017928357257876,0.669047741746998,0.0302296597355636
"LUM4526",42.45,13.27,853,1000,0,1,0.5899,0.009,0.1186,0.002,0.0096,0.00026,24.2,2.8,3.02762779836776e-06,3.02762779836776e-07,0.2504804165512,0.0279110612540906,0.09701847,0.00182407699370785,0.07405356,0.00132484260123292,0.421555474178998,0.0280019607388176
"LUM4771",42.45,13.27,853,1000,0,1,0.6708,0.0134,0.0657,0.0033,0.00243,0.00012,27.2,1.7,3.02762779836776e-06,3.02762779836776e-07,0.3110264281344,0.0203927856874729,0.101623143,0.00235524456447356,0.078762624,0.00175925507020782,0.491415222762198,0.0206035886084779
"LUM4773",42.45,13.27,868,1000,0,1,1.4026,0.0281,0.1293,0.0065,0.00303,0.00015,27.2,1.7,3.03645963629383e-06,3.03645963629383e-07,0.6492722990464,0.0426444508087044,0.210622423,0.00491870814900972,0.163786904,0.00367893695265178,1.02368466250604,0.0430845384311464
"LUM4774",42.45,13.27,928,1000,0,1,0.4694,0.0094,0.0219,0.0011,0.00208,1e-04,15.9,1.6,3.072111884449e-06,3.072111884449e-07,0.1253712798168,0.0128302502382452,0.070753998,0.00164776486567706,0.054051894,0.00122330728417456,0.250180243928684,0.0129933417962603
"LUM4775",42.45,13.27,875,1000,0,1,0.4461,0.0089,0.0361,0.0018,0.00224,0.00011,15.7,1.7,3.04059223145163e-06,3.04059223145163e-07,0.1188122649516,0.0129070468264843,0.067873204,0.00156757006472167,0.052169942,0.00116625742516432,0.238858451543831,0.0130540909359125
"LUM4532",42.45,13.27,775,1000,0,1,0.7044,0.0045,0.0561,0.0025,0.0077,4e-04,17.1,0.6,2.98221950219949e-06,2.98221950219949e-07,0.2042612075376,0.00775492750158827,0.11048318,0.00159708538465546,0.08337379,0.00109648040904112,0.398121159757102,0.00799323787067027
"LUM4772",42.45,13.27,775,1000,0,1,0.5642,0.0113,0.1759,0.0088,0.00344,0.00017,17.1,0.6,2.98221950219949e-06,2.98221950219949e-07,0.174456875124,0.00702612910181971,0.089909814,0.00203658303393813,0.072397662,0.00157239166642414,0.336767333343502,0.00748241780784386
"LUM4778",42.45,13.27,775,1000,0,1,0.6088,0.0122,0.1181,0.0059,0.00296,0.00015,18.9,0.7,2.98221950219949e-06,2.98221950219949e-07,0.201497018688,0.00860610426914904,0.094442926,0.00216532954831401,0.074483858,0.00163673787314684,0.370426784907502,0.00902400098064027
"LUM4779",42.45,13.27,800,1000,0,1,0.3323,0.0066,0.0163,8e-04,0.00199,1e-04,16.1,0.6,2.99667948280956e-06,2.99667948280956e-07,0.0899319880004,0.00398044912838235,0.050525009,0.00116427543555502,0.038432272,0.000862001428399869,0.178892265679883,0.00423586580356849
"LUM4780",50.43,11.02,500,10,0.01,0.01,0.42,0.02,0.0071,5e-04,0.00764,0.0006528,20.8,0.5,0.0700901620116816,0.00700901620116816,0.145466349929111,0.00772158949337508,0.0675852058492688,0.00297063875685521,0.0492003731574601,0.00224369171315176,0.332342090947521,0.0110728541731495
"LUM4346",50.43,11.02,500,10,0.01,0.01,0.65,0.03,0.0254,0.0011,0.00768,0.00042755,20.8,0.5,0.0700901620116816,0.00700901620116816,0.226578686195471,0.0116584092566071,0.101673238845144,0.00439998231612937,0.0758015626218611,0.00335846836195815,0.474143649674158,0.0146861829153563
"LUM4347",50.43,11.02,500,10,0.01,0.01,0.67,0.02,0.0123,6e-04,0.0067,0.00050615,20.8,0.5,0.0700901620116816,0.00700901620116816,0.232151587322702,0.00885036366082288,0.103445689288839,0.00296136405005541,0.0771624934757438,0.00224375596000961,0.482849932098966,0.0118852582168875
"LUM4348",50.43,11.02,500,10,0.01,0.01,0.87,0.03,0.0081,3e-04,0.006,0.00024595,20.8,0.5,0.0700901620116816,0.00700901620116816,0.300657395368295,0.012603840010214,0.131945856767904,0.00439838663096491,0.0991431076857238,0.00335886323977729,0.601836521833604,0.0154470339654669
