Sample,lat.,long.,altitute.m,depth.m,water.percent,se.water,U.ppm,se.U,Th.ppm,se.Th,K.percent,se.K,Sa,se.Sa,cosmicray,cosmic.err,alpha,alpha.err,beta,beta.err,gamma,gamma.err,Dr_Gyka,Dr.err
LUM4523,42.45,13.27,889,1000,0,1,0.5193,0.0147,0.1897,0.0088,0.0142,0.00077,22.9,0.2,,,,,,,,,,
LUM4524,42.45,13.27,889,1000,0,1,1.0756,0.005,0.2487,0.0063,0.02677,0.00136,27.6,2.7,,,,,,,,,,
LUM4525,42.45,13.27,853,1000,0,1,0.8738,0.0109,0.1969,0.0051,0.01606,0.00063,26.7,2,,,,,,,,,,
LUM4526,42.45,13.27,853,1000,0,1,0.5899,0.009,0.1186,0.002,0.0096,0.00026,24.2,2.8,,,,,,,,,,
LUM4771,42.45,13.27,853,1000,0,1,0.6708,0.0134,0.0657,0.0033,0.00243,0.00012,27.2,1.7,,,,,,,,,,
LUM4773,42.45,13.27,868,1000,0,1,1.4026,0.0281,0.1293,0.0065,0.00303,0.00015,27.2,1.7,,,,,,,,,,
LUM4774,42.45,13.27,928,1000,0,1,0.4694,0.0094,0.0219,0.0011,0.00208,0.0001,15.9,1.6,,,,,,,,,,
LUM4775,42.45,13.27,875,1000,0,1,0.4461,0.0089,0.0361,0.0018,0.00224,0.00011,15.7,1.7,,,,,,,,,,
LUM4532,42.45,13.27,775,1000,0,1,0.7044,0.0045,0.0561,0.0025,0.0077,0.0004,17.1,0.6,,,,,,,,,,
LUM4772,42.45,13.27,775,1000,0,1,0.5642,0.0113,0.1759,0.0088,0.00344,0.00017,17.1,0.6,,,,,,,,,,
LUM4778,42.45,13.27,775,1000,0,1,0.6088,0.0122,0.1181,0.0059,0.00296,0.00015,18.9,0.7,,,,,,,,,,
LUM4779,42.45,13.27,800,1000,0,1,0.3323,0.0066,0.0163,0.0008,0.00199,0.0001,16.1,0.6,,,,,,,,,,
LUM4780,50.43,11.02,500,10,0.01,0.01,0.42,0.02,0.0071,0.0005,0.00764,0.0006528,20.8,0.5,,,,,,,,,,
LUM4346,50.43,11.02,500,10,0.01,0.01,0.65,0.03,0.0254,0.0011,0.00768,0.00042755,20.8,0.5,,,,,,,,,,
LUM4347,50.43,11.02,500,10,0.01,0.01,0.67,0.02,0.0123,0.0006,0.0067,0.00050615,20.8,0.5,,,,,,,,,,
LUM4348,50.43,11.02,500,10,0.01,0.01,0.87,0.03,0.0081,0.0003,0.006,0.00024595,20.8,0.5,,,,,,,,,,
