Sample,lat.,long.,altitute.m,depth.m,grain.min,grain.max,water.percent,se.water,U.ppm,se.U,Th.ppm,se.Th,K.percent,se.K,cosmicray,cosmic.err,internal,internal.err,external.alpha,external.alpha.err,external.beta,external.beta.err,external.gamma,external.gamma.err,external.total,external.total.err,Doserate_Gyka,err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial-1,-5,-40,2000,0.5,4,11,10,5,0.53,0.06,3.4,0.16,2.2,0.07,0.253268297,0.02532683,0.03884125,0.010699257,0.223,0.044,1.711,0.134,0.693,0.048,2.627,0.149,2.919546222,0.151389806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial-2,-5,-40,2000,1,4,11,10,5,0.8,0.07,3.92,0.15,2.09,0.07,0.226861929,0.022686193,0.03884125,0.010699257,0.285,0.054,1.680,0.130,0.718,0.049,2.683,0.149,2.948746004,0.151544887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial-3,-5,-40,2000,2,4,11,10,5,0.53,0.06,2.65,0.14,2.16,0.07,0.197987562,0.019798756,0.03884125,0.010699257,0.191,0.037,1.665,0.131,0.652,0.046,2.508,0.144,2.744513762,0.145623039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingyuan-1,43,115,1300,5,4,11,15,5,1.59,0.1,8.39,0.25,2.31,0.07,0.133176212,0.013317621,0.03884125,0.010699257,0.555,0.104,1.937,0.139,0.989,0.062,3.481,0.184,3.653397962,0.184598493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingyuan-2,43,115,1300,15,4,11,15,5,1.66,0.1,8.56,0.26,2.31,0.07,0.050261944,0.005026194,0.03884125,0.010699257,0.572,0.106,1.949,0.139,1.003,0.062,3.524,0.186,3.612948478,0.186450799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM-2307,50.5,7.1,147,1.5,4,11,20,10,3.47,0.18,11.12,0.56,1.94,0.099,0.175208919,0.017520892,0.03884125,0.010699257,0.871,0.182,1.879,0.211,1.146,0.117,3.895,0.302,4.10948265,0.302981071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM-2308,50.5,7.1,147,4.3,4,11,20,10,4.11,0.21,13.88,0.7,1.83,0.094,0.121908881,0.012190888,0.03884125,0.010699257,1.058,0.221,1.941,0.216,1.290,0.132,4.290,0.336,4.450427076,0.336374753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM-2317,50.5,7.1,147,6.6,4,11,20,10,3.65,0.18,12.73,0.64,1.81,0.091,0.093214171,0.009321417,0.03884125,0.010699257,0.955,0.200,1.851,0.206,1.199,0.122,4.005,0.312,4.137056887,0.312131069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM-2318,50.5,7.1,147,9.6,4,11,20,10,3.11,0.16,12.33,0.62,1.83,0.092,0.068170125,0.006817013,0.03884125,0.010699257,0.870,0.182,1.793,0.201,1.138,0.116,3.801,0.295,3.908041663,0.295028153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3703,37.71,109.42,1050,1.1,4,11,20,5,2.79,0.14,14.16,0.43,2.16,0.1,0.202872557,0.020287256,0.03884125,0.010699257,0.897,0.165,2.007,0.141,1.248,0.076,4.152,0.230,4.393504508,0.231572667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3704,37.71,109.42,1050,3.5,4,11,15,5,2.51,0.13,12.62,0.4,1.92,0.09,0.14763029,0.014763029,0.03884125,0.010699257,0.852,0.158,1.882,0.137,1.168,0.073,3.901,0.221,4.087747394,0.22202943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3705,37.71,109.42,1050,9.6,4,11,20,5,3.31,0.16,14.43,0.44,2.21,0.1,0.074724658,0.007472466,0.03884125,0.010699257,0.975,0.178,2.104,0.146,1.316,0.079,4.395,0.244,4.508768432,0.244332302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3706,37.71,109.42,1050,11.9,4,11,15,5,2.24,0.12,9.78,0.32,1.55,0.08,0.060247675,0.006024768,0.03884125,0.010699257,0.701,0.129,1.536,0.113,0.946,0.060,3.183,0.182,3.281908143,0.182437172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3707,37.71,109.42,1050,18.3,4,11,20,5,2.66,0.13,14.84,0.45,2.08,0.1,0.036090044,0.003609004,0.03884125,0.010699257,0.906,0.168,1.955,0.138,1.247,0.076,4.108,0.231,4.182647508,0.230808636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3708,37.71,109.42,1050,22.2,4,11,15,5,3.02,0.14,11.73,0.37,1.74,0.09,0.02770067,0.002770067,0.03884125,0.010699257,0.887,0.163,1.802,0.131,1.141,0.071,3.830,0.221,3.896649739,0.22091069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3709,37.71,109.42,1050,24.2,4,11,20,5,2.53,0.13,14.64,0.44,1.92,0.09,0.024450239,0.002445024,0.03884125,0.010699257,0.882,0.164,1.834,0.128,1.194,0.072,3.910,0.221,3.972850999,0.220974358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3710,37.71,109.42,1050,26.6,4,11,15,5,2.72,0.14,12.09,0.38,1.82,0.09,0.021224859,0.002122486,0.03884125,0.010699257,0.860,0.159,1.828,0.133,1.145,0.072,3.832,0.219,3.892122581,0.219239348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3711,37.71,109.42,1050,32.5,4,11,15,5,3.19,0.15,11.34,0.36,1.73,0.09,0.015483771,0.001548377,0.03884125,0.010699257,0.894,0.164,1.807,0.131,1.139,0.071,3.841,0.222,3.895311234,0.222102445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3712,37.71,109.42,1050,42.6,4,11,15,5,2.55,0.13,12.85,0.4,1.75,0.09,0.009787073,0.000978707,0.03884125,0.010699257,0.867,0.161,1.778,0.130,1.145,0.072,3.789,0.219,3.837364923,0.219074961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUM3713,37.71,109.42,1050,56.4,4,11,15,5,2.51,0.13,12.04,0.38,1.73,0.09,0.005854447,0.000585445,0.03884125,0.010699257,0.829,0.153,1.741,0.128,1.103,0.069,3.673,0.211,3.717405386,0.211707289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI:1,TI:2,TI:3,TO:FQ,TO:FR,TO:FS,TO:FT,TO:FU,TO:FV,TO:FW,TO:FX,TO:FY,TO:FZ,,,TO:GG,TO:GH,TO:GK,TO:GL,,,,,,,TO:GI,TO:GJ,TO:GM,TO:GN,,,,,,TI:8,TI:9,TI:10,TI:11,TI:12,TI:13,TI:14,TI:15,TI:16,TI:17,TI:18,TI:19,TI:20,TI:21,TI:22,TI:23,TI:24,TI:25,TI:26,TI:27,TI:28,TI:29,TI:30,TI:31,TI:32,TI:33,TI:34,TI:35,TI:36,TI:37,TI:38,TI:39,TI:40,TI:41,TI:42,TI:43,TI:44,TI:45,TI:46,TI:47,TI:48,TI:49,TI:50,TI:51,TI:52,TI:53,,,TO:A,TO:B,TO:C,TO:D,TO:E,TO:F,TO:G,TO:H,TO:I,TO:J,TO:K,TO:L,TO:M,TO:N,TO:O,TO:P,TO:Q,TO:R,TO:S,TO:T,TO:U,TO:V,TO:W,TO:X,TO:Y,TO:Z,TO:AA,TO:AB,TO:AC,TO:AD,TO:AE,TO:AF,TO:AG,TO:AH,TO:AI,TO:AJ,TO:AK,TO:AL,TO:AM,TO:AN,TO:AO,TO:AP,TO:AQ,TO:AR,TO:AS,TO:AT,TO:AU,TO:AV,TO:AW,TO:AX,TO:AY,TO:AZ,TO:BA,TO:BB,TO:BC,TO:BD,TO:BE,TO:BF,TO:BG,TO:BH,TO:BI,TO:BJ,TO:BK,TO:BL,TO:BM,TO:BN,TO:BO,TO:BP,TO:BQ,TO:BR,TO:BS,TO:BT,TO:BU,TO:BV,TO:BW,TO:BX,TO:BY,TO:BZ,TO:CA,TO:CB,TO:CC,TO:CD,TO:CE,TO:CF,TO:CG,TO:CH,TO:CI,TO:CJ,TO:CK,TO:CL,TO:CM,TO:CN,TO:CO,TO:CP,TO:CQ,TO:CR,TO:CS,TO:CT,TO:CU,TO:CV,TO:CW,TO:CX,TO:CY,TO:CZ,TO:DA,TO:DB,TO:DC,TO:DD,TO:DE,TO:DF,TO:DG,TO:DH,TO:DI,TO:DJ,TO:DK,TO:DL,TO:DM,TO:DN,TO:DO,TO:DP,TO:DQ,TO:DR,TO:DS,TO:DT,TO:DU,TO:DV,TO:DW,TO:DX,TO:DY,TO:DZ,TO:EA,TO:EB,TO:EC,TO:ED,TO:EE,TO:EF,TO:EG,TO:EH,TO:EI,TO:EJ,TO:EK,TO:EL,TO:EM,TO:EN,TO:EO,TO:EP,TO:EQ,TO:ER,TO:ES,TO:ET,TO:EU,TO:EV,TO:EW,TO:EX,TO:EY,TO:EZ,TO:FA,TO:FB,TO:FC,TO:FD,TO:FE,TO:FF,TO:FG,TO:FH,TO:FI,TO:FJ,TO:FK,TO:FL,TO:FM,TO:FN,TO:FO,TO:FP,TO:FQ,TO:FR,TO:FS,TO:FT,TO:FU,TO:FV,TO:FW,TO:FX,TO:FY,TO:FZ,TO:GA,TO:GB,TO:GC,TO:GD,TO:GE,TO:GF,TO:GG,TO:GH,TO:GI,TO:GJ,TO:GK,TO:GL,TO:GM,TO:GN,TO:GO,TO:GP
