"Sample","mineral","Sa","Sa_err","latitude","longitude","altitude_m","depth_m","water_percent","water_err","U_ppm","U_err","Th_ppm","Th_err","K_percent","K_err","cosmicray","cosmicray.err","alpha","alpha_err","beta","beta_err","gamma","gamma_err","doserate_Gyperka","doserate_err"
"LUM4523","calcite",22.9,0.2,42.45,13.27,889,1000,0,0,0.5193,0.0147,0.1897,0.0088,0.0142,0.00077,3.04887861886449e-06,3.04887861886449e-07,0.22359533436,0.00607134464475313,0.09235824,0.00226555944985096,0.07072947,0.00171367808161743,0.386686093238619,0.00670303498995448
"LUM4524","calcite",27.6,2.7,42.45,13.27,889,1000,0,0,1.0756,0.005,0.2487,0.0063,0.02677,0.00136,3.04887861886449e-06,3.04887861886449e-07,0.5384329210368,0.0495179345977753,0.185214737,0.00143835310499787,0.138901696,0.000772369310951698,0.862552402915419,0.0495448409113367
"LUM4525","calcite",26.7,2,42.45,13.27,853,1000,0,0,0.8738,0.0109,0.1969,0.0051,0.01606,0.00063,3.02762779836776e-06,3.02762779836776e-07,0.4224700766304,0.0301724628422596,0.145767836,0.00173243308776789,0.111173518,0.00127108140672421,0.679414458258198,0.0302488757874622
"LUM4526","calcite",24.2,2.8,42.45,13.27,853,1000,0,0,0.5899,0.009,0.1186,0.002,0.0096,0.00026,3.02762779836776e-06,3.02762779836776e-07,0.256784056848,0.0283554626299636,0.09701847,0.0013625493399492,0.07405356,0.00102273956998055,0.427859114475798,0.0284065977896461
"LUM4771","calcite",27.2,1.7,42.45,13.27,853,1000,0,0,0.6708,0.0134,0.0657,0.0033,0.00243,0.00012,3.02762779836776e-06,3.02762779836776e-07,0.31886825472,0.0203533567654328,0.101623143,0.00198331593160167,0.078762624,0.0015143528810591,0.499257049347798,0.0205057537887679
"LUM4773","calcite",27.2,1.7,42.45,13.27,868,1000,0,0,1.4026,0.0281,0.1293,0.0065,0.00303,0.00015,3.03645963629383e-06,3.03645963629383e-07,0.6656439679488,0.04256609532093,0.210622423,0.00415477530233417,0.163786904,0.00317299913730464,1.04005633140844,0.0428859248740297
"LUM4774","calcite",15.9,1.6,42.45,13.27,928,1000,0,0,0.4694,0.0094,0.0219,0.0011,0.00208,1e-04,3.072111884449e-06,3.072111884449e-07,0.1285352636832,0.0130122627604634,0.070753998,0.00139029547800315,0.054051894,0.00105782418083347,0.253344227795084,0.0131290097020085
"LUM4775","calcite",15.7,1.7,42.45,13.27,875,1000,0,0,0.4461,0.0089,0.0361,0.0018,0.00224,0.00011,3.04059223145163e-06,3.04059223145163e-07,0.1218087908784,0.0131063031921754,0.067873204,0.00131813042250947,0.052169942,0.00100420811174178,0.241854977470631,0.0132106428761099
"LUM4532","calcite",17.1,0.6,42.45,13.27,775,1000,0,0,0.7044,0.0045,0.0561,0.0025,0.0077,4e-04,2.98221950219949e-06,2.98221950219949e-07,0.209412936576,0.00730392752638689,0.11048318,0.000802129001345794,0.08337379,0.00055123005805199,0.403272888795502,0.00736848850927709
"LUM4772","calcite",17.1,0.6,42.45,13.27,775,1000,0,0,0.5642,0.0113,0.1759,0.0088,0.00344,0.00017,2.98221950219949e-06,2.98221950219949e-07,0.1788390739296,0.00668513018003503,0.089909814,0.00169840532986475,0.072397662,0.00133956098618167,0.341149532149102,0.0070263767272446
"LUM4778","calcite",18.9,0.7,42.45,13.27,775,1000,0,0,0.6088,0.0122,0.1181,0.0059,0.00296,0.00015,2.98221950219949e-06,2.98221950219949e-07,0.2065685582016,0.00826134720267067,0.094442926,0.00181520947768818,0.074483858,0.00140057819855373,0.375498324421102,0.00857359098803785
"LUM4779","calcite",16.1,0.6,42.45,13.27,800,1000,0,0,0.3323,0.0066,0.0163,8e-04,0.00199,1e-04,2.99667948280956e-06,2.99667948280956e-07,0.0922014905616,0.00383948520283384,0.050525009,0.000978093020284369,0.038432272,0.000743098000269144,0.181161768241083,0.0040311917973366
"LUM4780","calcite",20.8,0.5,50.43,11.02,500,10,0,0,0.42,0.02,0.0071,5e-04,0.00764,0.0006528,0.0700901620116816,0.00700901620116816,0.1491619304448,0.00791778852621522,0.067593654,0.00297099807539845,0.049205982,0.00224433350835965,0.336051728456482,0.0112107781047914
"LUM4346","calcite",20.8,0.5,50.43,11.02,500,10,0,0,0.65,0.03,0.0254,0.0011,0.00768,0.00042755,0.0700901620116816,0.00700901620116816,0.2323325002752,0.0119546350858141,0.101685948,0.00440051396125807,0.075810204,0.00335946898989468,0.479918814286882,0.0149228068124099
"LUM4347","calcite",20.8,0.5,50.43,11.02,500,10,0,0,0.67,0.02,0.0123,6e-04,0.0067,0.00050615,0.0700901620116816,0.00700901620116816,0.2380492468224,0.00907520972798079,0.10345862,0.00296170599316591,0.07717129,0.00224499450938561,0.488769318834082,0.0120539388770726
"LUM4348","calcite",20.8,0.5,50.43,11.02,500,10,0,0,0.87,0.03,0.0081,3e-04,0.006,0.00024595,0.0700901620116816,0.00700901620116816,0.3082967267328,0.0129240625922324,0.13196235,0.00439890550958565,0.09915441,0.00336035354616678,0.609503648744482,0.0157098710253674
"LUM4523","dolomite",22.9,0.2,42.45,13.27,889,1000,0,0,0.5193,0.0147,0.1897,0.0088,0.0142,0.00077,3.04887861886449e-06,3.04887861886449e-07,0.2181210823068,0.00592203675724267,0.09235824,0.00226555944985096,0.07072947,0.00171367808161743,0.381211841185419,0.00656810259019413
"LUM4524","dolomite",27.6,2.7,42.45,13.27,889,1000,0,0,1.0756,0.005,0.2487,0.0063,0.02677,0.00136,3.04887861886449e-06,3.04887861886449e-07,0.525221969952,0.0482983339763332,0.185214737,0.00143835310499787,0.138901696,0.000772369310951698,0.849341451830619,0.048325919328964
"LUM4525","dolomite",26.7,2,42.45,13.27,853,1000,0,0,0.8738,0.0109,0.1969,0.0051,0.01606,0.00063,3.02762779836776e-06,3.02762779836776e-07,0.4121033601192,0.0294293244398134,0.145767836,0.00173243308776789,0.111173518,0.00127108140672421,0.669047741746998,0.0295076618765631
"LUM4526","dolomite",24.2,2.8,42.45,13.27,853,1000,0,0,0.5899,0.009,0.1186,0.002,0.0096,0.00026,3.02762779836776e-06,3.02762779836776e-07,0.2504804165512,0.0276570197515491,0.09701847,0.0013625493399492,0.07405356,0.00102273956998055,0.421555474178998,0.0277094438515291
"LUM4771","dolomite",27.2,1.7,42.45,13.27,853,1000,0,0,0.6708,0.0134,0.0657,0.0033,0.00243,0.00012,3.02762779836776e-06,3.02762779836776e-07,0.3110264281344,0.0198519466128801,0.101623143,0.00198331593160167,0.078762624,0.0015143528810591,0.491415222762198,0.0200081631127204
"LUM4773","dolomite",27.2,1.7,42.45,13.27,868,1000,0,0,1.4026,0.0281,0.1293,0.0065,0.00303,0.00015,3.03645963629383e-06,3.03645963629383e-07,0.6492722990464,0.0415174591967824,0.210622423,0.00415477530233417,0.163786904,0.00317299913730464,1.02368466250604,0.041845304391137
"LUM4774","dolomite",15.9,1.6,42.45,13.27,928,1000,0,0,0.4694,0.0094,0.0219,0.0011,0.00208,1e-04,3.072111884449e-06,3.072111884449e-07,0.1253712798168,0.0126916815540864,0.070753998,0.00139029547800315,0.054051894,0.00105782418083347,0.250180243928684,0.0128113502129334
"LUM4775","dolomite",15.7,1.7,42.45,13.27,875,1000,0,0,0.4461,0.0089,0.0361,0.0018,0.00224,0.00011,3.04059223145163e-06,3.04059223145163e-07,0.1188122649516,0.0127834141786496,0.067873204,0.00131813042250947,0.052169942,0.00100420811174178,0.238858451543831,0.0128903677177102
"LUM4532","dolomite",17.1,0.6,42.45,13.27,775,1000,0,0,0.7044,0.0045,0.0561,0.0025,0.0077,4e-04,2.98221950219949e-06,2.98221950219949e-07,0.2042612075376,0.00712399511168617,0.11048318,0.000802129001345794,0.08337379,0.00055123005805199,0.398121159757102,0.00719017190002887
"LUM4772","dolomite",17.1,0.6,42.45,13.27,775,1000,0,0,0.5642,0.0113,0.1759,0.0088,0.00344,0.00017,2.98221950219949e-06,2.98221950219949e-07,0.174456875124,0.00652062649351125,0.089909814,0.00169840532986475,0.072397662,0.00133956098618167,0.336767333343502,0.0068700490723888
"LUM4778","dolomite",18.9,0.7,42.45,13.27,775,1000,0,0,0.6088,0.0122,0.1181,0.0059,0.00296,0.00015,2.98221950219949e-06,2.98221950219949e-07,0.201497018688,0.0080579026284717,0.094442926,0.00181520947768818,0.074483858,0.00140057819855373,0.370426784907502,0.00837773236604157
"LUM4779","dolomite",16.1,0.6,42.45,13.27,800,1000,0,0,0.3323,0.0066,0.0163,8e-04,0.00199,1e-04,2.99667948280956e-06,2.99667948280956e-07,0.0899319880004,0.00374489368458657,0.050525009,0.000978093020284369,0.038432272,0.000743098000269144,0.178892265679883,0.00394120405371129
"LUM4780","dolomite",20.8,0.5,50.43,11.02,500,10,0,0,0.42,0.02,0.0071,5e-04,0.00764,0.0006528,0.0700901620116816,0.00700901620116816,0.1454881698816,0.00772271690654794,0.067593654,0.00297099807539845,0.049205982,0.00224433350835965,0.332377967893282,0.0110738668489235
"LUM4346","dolomite",20.8,0.5,50.43,11.02,500,10,0,0,0.65,0.03,0.0254,0.0011,0.00768,0.00042755,0.0700901620116816,0.00700901620116816,0.2266126729984,0.0116601084858526,0.101685948,0.00440051396125807,0.075810204,0.00335946898989468,0.474198987010082,0.014687919969396
"LUM4347","dolomite",20.8,0.5,50.43,11.02,500,10,0,0,0.67,0.02,0.0123,6e-04,0.0067,0.00050615,0.0700901620116816,0.00700901620116816,0.2321864100608,0.00885162271841752,0.10345862,0.00296170599316591,0.07717129,0.00224499450938561,0.482906482072482,0.0118865148632629
"LUM4348","dolomite",20.8,0.5,50.43,11.02,500,10,0,0,0.87,0.03,0.0081,3e-04,0.006,0.00024595,0.0700901620116816,0.00700901620116816,0.3007024939776,0.0126056499129434,0.13196235,0.00439890550958565,0.09915441,0.00336035354616678,0.601909415989282,0.0154489826031822
